Displayname, ID, Highest Role, Join Date, Last Post Date
KnifeDay,254754464940949516,Challenger,1-17-2020,none
Vaenivo,244472250969882624,Explorer,4-12-2020,none
RNGinxed,194275696816685056,Challenger,1-17-2020,none
Arcalium,142693435793473536,Guardian,5-24-2019,none
Catch,115279182279344134,Explorer,4-3-2020,none
YourMajestyCaleb(Corilion),187288229656002560,Demigod,12-16-2016,none
Ratch,294952981378498571,Champion,11-1-2018,none
TheDesertVulture,283117409005731841,Challenger,1-30-2020,none
CaptRazz,120675006014423042,Champion,5-2-2018,none
DOMINATOR44,163076042318282752,Demigod,12-13-2016,none
FlamingSlug,140994218406445056,Demigod,8-2-2016,none
Glossy,151048356221812737,Guardian,4-28-2019,none
Dr. Shrooms,185897092424663041,Demigod,3-5-2017,none
Noctislucis,340361148496871426,Challenger,12-10-2019,none
TheMetro,316087531831820289,Champion,9-24-2018,none
Caeyote the Codex (Valkyrie),160817242664075264,Demigod,7-28-2016,none
Fuehrian,153769440872235008,Champion,12-13-2018,none
timfiji (Archpriest),204678986020683776,Champion,4-19-2019,none
Rukeru,298903757217988620,Challenger,1-7-2020,none
LuminXenos,140265304709136384,Explorer,3-14-2020,none
SlightlyJason,235279075118284802,Avatar,5-21-2017,none
Falamar,217695651943809024,Guardian,7-26-2019,none
Goslem86,175477761450835969,Challenger,11-16-2019,none
PancakeSmuggler,147482150600572928,Champion,10-22-2018,none
Nazlorion,155494180771069952,Champion,1-18-2019,none
Griffith,183479176752398336,Friend,3-10-2020,none
Poko 康纳,253326091781931018,Champion,1-27-2019,none
🐺 Mythrillium (aka Shay),139920323888939008,Demigod,12-13-2016,none
Amicus, The Guardian,191331136817856512,Friend,3-31-2020,none
Blessed,147447897087016960,Guardian,10-17-2019,none
papapep,373708066278866946,Friend,10-28-2017,none
karleron,154622955043815425,Champion,2-28-2019,none
JackedBTrade (Warden),257376210286411788,Guardian,10-14-2019,none
Solest  ✨,186097442708652032,Challenger,12-12-2019,none
Goosejuice(Subdivisions),220706141846503434,Explorer,3-26-2020,none
[ΔR] JHRZy,138853051233468416,Friend,1-27-2019,none
LilaCDolL,159080734542266369,Champion,4-21-2019,none
Guildhart,100978607916064768,Avatar,9-5-2017,none
S33V,112463376612884480,Demigod,12-10-2016,none
XRaRe eVoX,319510131350044672,Guardian,10-1-2019,none
asseylum,136578437253955584,Explorer,3-4-2020,none
Jake,228289175282122754,Demigod,11-19-2016,none
hetoli,173306115281387520,Demigod,7-7-2016,none
Requiem (Shadowfang),130830206423400448,Challenger,10-27-2019,none
Triple,105807434873905152,Champion,3-10-2019,none
H3roSavag3,277705352156545024,Demigod,2-5-2017,none
Santy,297134736776626176,Guardian,5-7-2019,none
Pimpinloke,117110553733890057,Demigod,4-29-2016,none
Farri,668358591870402581,Challenger,1-19-2020,none
SuMn8,406524471952801794,Champion,3-14-2019,none
tugowar,318295347816431617,Friend,3-2-2020,none
Zess,312994449787584513,Champion,4-18-2019,none
Wellxam,200709934105624577,Avatar,8-20-2017,none
Andy927,229085350386073601,Champion,6-7-2018,none
FlameChampi0n,220722623305220097,Champion,6-9-2018,none
Cnoil,406255896986124300,Avatar,1-29-2018,none
Lapis,228901001099345920,Challenger,2-8-2020,none
Oldwargoat39,76794350717112320,Champion,9-6-2018,none
[Enveus] Xersees,142817490412634113,Friend,1-6-2020,none
Fawooppers,112435482255761408,Avatar,7-26-2017,none
Kevikarp,145247884504203264,Demigod,4-28-2016,none
Espanto,392806606687174659,Guardian,8-20-2019,none
Schmazy,138961315182936064,Demigod,8-19-2016,none
Slimzy,116017586365267968,Champion,7-3-2018,none
PPP,124340340881752064,Guardian,10-22-2019,none
Huntersknoll,136537598297505793,Challenger,12-22-2019,none
ChickaChase,249722353431478273,Champion,9-22-2018,none
JOmickie,128743702947430402,Explorer,3-31-2020,none
Orik Bloodfist,420941274963509288,Challenger,1-14-2020,none
